gov_ar,gov_en,year,male,female,total,urban,rural,urban_per
القاهرة,Cairo,2019,5077849,4710890,9788739,9788739,0,100.0
الاسكندرية,Alexandria,2019,2720672,2579046,5299718,5211229,88489,98.3
بورسعيد,Port-Said,2019,392717,371782,764499,764499,0,100.0
السويس,Suez,2019,384948,364709,749657,749657,0,100.0
دمياط,Damietta,2019,790332,748743,1539075,613826,925249,39.9
الدقهلية,Dakahlia,2019,3397208,3282160,6679368,1962650,4716718,29.4
الشرقية,Sharkia,2019,3808809,3592891,7401700,1845179,5556521,24.9
القليوبية,Kalyobia,2019,2990630,2801436,5792066,2479382,3312684,42.8
كفر الشيخ,Kafr-El-Sheikh,2019,1779178,1699089,3478267,840507,2637760,24.2
الغربية,Gharbia,2019,2629657,2516754,5146411,1499265,3647146,29.1
المنوفية,Menoufia,2019,2289659,2152058,4441717,943041,3498676,21.2
البحيرة,Behera,2019,3300279,3103931,6404210,1237380,5166830,19.3
االسماعيلية,Ismailia,2019,697697,654851,1352548,609067,743481,45.0
الجيزة,Giza,2019,4627669,4287495,8915164,5410061,3505103,60.7
بني سويف,Beni-Suef,2019,1694680,1593539,3288219,771004,2517215,23.4
الفيوم,Fayoum,2019,1952528,1795414,3747942,870762,2877180,23.2
المنيا,Menia,2019,2961379,2783833,5745212,1052633,4692579,18.3
أسيوط,Asyout,2019,2370318,2217259,4587577,1212809,3374768,26.4
سوهاج,Suhag,2019,2684798,2508254,5193052,1104895,4088157,21.3
قنـا,Qena,2019,1694322,1608572,3302894,614864,2688030,18.6
أسوان,Aswan,2019,778827,753573,1532400,653535,878865,42.6
الأقصر,Luxor,2019,628189,668351,1296540,529609,766931,40.8
البحر الأحمر,Red Sea,2019,193943,178919,372862,360303,12559,96.6
الجديد الوادى,ElWadi ElGidid,2019,128120,121279,249399,118803,130596,47.6
مطروح,Matrouh,2019,241828,220019,461847,292068,169779,63.2
شمال سيناء,North Sinai,2019,236138,227837,463975,290738,173237,62.7
جنوب سيناء,South Sinai,2019,54759,51194,105953,57288,48665,54.1
