age,male,female,total,percentage
‬‬4-0,6816889,6534214,13351103,13.6
9-5,5648246,5232453,10880699,11.1
14-10,4865965,4479050,9345015,9.5
19-15,4835438,4484270,9319708,9.5
24-20,4379474,4139238,8518712,8.7
29-25,4171740,4280729,8452469,8.6
34-30,3892787,3707374,7600161,7.7
39-35,3451228,3261147,6712375,6.8
44-40,2748430,2583779,5332209,5.4
49-45,2362830,2182648,4545478,4.6
54-50,2120425,2016961,4137386,4.2
59-55,1772600,1601275,3373875,3.4
64-60,1464563,1276983,2741546,2.8
69-65,974532,805478,1780010,1.8
74-70,549034,502290,1051324,1.1
+75,493114,465827,958941,1.0
